epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,285.17,0.99813,0.89863,1.00186,0.63516,0.56445,0.57025,0.39625,1.67583,1.13189,1.13397,0.000990365,0.000990365,0.000990365
43,291.646,0.98629,0.85153,0.97963,0.52886,0.52834,0.48704,0.34002,1.47159,1.10181,1.02029,0.000973861,0.000973861,0.000973861
44,298.295,1.02403,0.88575,1.00808,0.33755,0.44608,0.41438,0.25876,1.41181,1.25965,1.02078,0.000957358,0.000957358,0.000957358
45,304.985,0.98533,0.81499,0.99891,0.7276,0.42452,0.47748,0.31328,1.35979,1.12599,1.01474,0.000940855,0.000940855,0.000940855
46,311.901,0.99985,0.80254,0.96842,0.80504,0.36263,0.50029,0.36442,1.28032,1.06573,0.99479,0.000924352,0.000924352,0.000924352
47,318.47,1.01176,0.8037,0.98689,0.65804,0.41798,0.52772,0.37948,1.26806,1.01383,1.01527,0.000907848,0.000907848,0.000907848
48,325.464,0.92452,0.77454,0.95254,0.62067,0.49896,0.55554,0.39052,1.23396,0.89405,1.01914,0.000891345,0.000891345,0.000891345
49,331.758,0.92931,0.72502,0.9578,0.63913,0.40255,0.50242,0.35798,1.33606,1.03657,1.01217,0.000874842,0.000874842,0.000874842
50,338.536,0.9634,0.78699,0.97572,0.61611,0.50166,0.56146,0.39725,1.28819,1.05719,0.99703,0.000858338,0.000858338,0.000858338
51,345.051,0.97217,0.77734,0.98567,0.60411,0.60291,0.50817,0.34895,1.1321,0.97213,0.99507,0.000841835,0.000841835,0.000841835
52,351.913,0.93099,0.77849,0.96131,0.44657,0.55857,0.48539,0.34197,1.13924,0.94408,0.97445,0.000825332,0.000825332,0.000825332
53,358.947,0.89544,0.76044,0.9356,0.49,0.49028,0.49721,0.35417,1.23321,0.9262,1.04328,0.000808828,0.000808828,0.000808828
54,365.667,0.88576,0.73792,0.95024,0.67615,0.49896,0.57439,0.40947,1.2348,0.87309,0.9784,0.000792325,0.000792325,0.000792325
55,372.436,0.94471,0.76663,0.98293,0.41241,0.60241,0.51003,0.36798,1.12732,0.93338,0.96979,0.000775822,0.000775822,0.000775822
56,378.933,0.89252,0.71183,0.96364,0.44276,0.43989,0.4407,0.30664,1.24905,1.11224,1.02012,0.000759318,0.000759318,0.000759318
57,385.168,0.91323,0.73177,0.96962,0.69641,0.34902,0.4547,0.33812,1.20244,1.15154,1.00259,0.000742815,0.000742815,0.000742815
58,392.832,0.89911,0.706,0.94579,0.78182,0.39379,0.51656,0.38903,1.16978,0.98578,0.9588,0.000726312,0.000726312,0.000726312
59,399.493,0.83832,0.68302,0.9345,0.73763,0.51063,0.59805,0.42575,1.13158,0.86624,0.93976,0.000709809,0.000709809,0.000709809
60,406.02,0.87694,0.68195,0.93452,0.52878,0.53275,0.54803,0.38562,1.14997,0.9449,0.96489,0.000693305,0.000693305,0.000693305
61,412.762,0.91636,0.69448,0.95317,0.73171,0.39764,0.55723,0.38602,1.22823,1.07729,0.96207,0.000676802,0.000676802,0.000676802
62,419.173,0.91916,0.70021,0.94248,0.70938,0.48184,0.59732,0.40845,1.1805,0.94185,0.96932,0.000660299,0.000660299,0.000660299
63,426.129,0.86017,0.66582,0.95849,0.62869,0.50989,0.58865,0.41052,1.0842,0.95234,0.91695,0.000643795,0.000643795,0.000643795
64,432.214,0.82665,0.65812,0.91302,0.75547,0.44491,0.49853,0.3429,1.08539,1.05647,0.92292,0.000627292,0.000627292,0.000627292
65,439.302,0.84733,0.65239,0.94181,0.67059,0.57588,0.55191,0.37135,1.09775,0.97014,0.92633,0.000610789,0.000610789,0.000610789
66,445.846,0.80677,0.66515,0.9203,0.69303,0.52202,0.54425,0.35102,1.04323,1.00454,0.91481,0.000594286,0.000594286,0.000594286
