epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,507.671,1.23109,2.89745,1.24494,0.26497,0.09026,0.07031,0.05309,1.51532,3.75314,1.39953,9.26796e-05,9.26796e-05,9.26796e-05
43,519.102,1.25141,2.87181,1.25,0.20055,0.07512,0.06832,0.0542,1.50759,3.73123,1.3872,9.11352e-05,9.11352e-05,9.11352e-05
44,530.369,1.17374,2.78289,1.21662,0.21802,0.0768,0.06386,0.05042,1.49752,3.72689,1.38092,8.95908e-05,8.95908e-05,8.95908e-05
45,541.241,1.29006,2.86095,1.25385,0.23057,0.08386,0.07081,0.05526,1.52101,3.74028,1.39787,8.80464e-05,8.80464e-05,8.80464e-05
46,552.071,1.13891,2.64089,1.20562,0.18462,0.11102,0.06886,0.05483,1.508,3.77155,1.4033,8.6502e-05,8.6502e-05,8.6502e-05
47,564.016,1.21684,2.7718,1.22449,0.20783,0.11018,0.067,0.05623,1.50834,3.75839,1.38917,8.49576e-05,8.49576e-05,8.49576e-05
48,575.027,1.20121,2.76492,1.22216,0.20519,0.09189,0.06806,0.05678,1.50623,3.76061,1.37224,8.34132e-05,8.34132e-05,8.34132e-05
49,585.398,1.18433,2.60319,1.19739,0.16459,0.10227,0.06903,0.05604,1.49762,3.75485,1.38237,8.18688e-05,8.18688e-05,8.18688e-05
50,597.303,1.23689,2.81553,1.25443,0.21492,0.12584,0.06805,0.05418,1.48181,3.74666,1.37859,8.03244e-05,8.03244e-05,8.03244e-05
51,608.366,1.18167,2.58744,1.22224,0.21343,0.10683,0.06929,0.05676,1.49262,3.78374,1.38729,7.878e-05,7.878e-05,7.878e-05
52,619.205,1.15227,2.71124,1.22234,0.1949,0.10113,0.07012,0.05675,1.50536,3.80407,1.38909,7.72356e-05,7.72356e-05,7.72356e-05
53,630.827,1.19701,2.58357,1.20996,0.21688,0.0865,0.06745,0.05421,1.50272,3.7935,1.38274,7.56912e-05,7.56912e-05,7.56912e-05
54,642.099,1.27469,2.63684,1.27507,0.23164,0.08431,0.0657,0.05492,1.51935,3.78491,1.38993,7.41468e-05,7.41468e-05,7.41468e-05
55,652.947,1.2208,2.61271,1.23763,0.24276,0.09731,0.07036,0.05834,1.5292,3.8023,1.40415,7.26024e-05,7.26024e-05,7.26024e-05
56,664.292,1.13816,2.48622,1.17555,0.28866,0.10414,0.06835,0.05793,1.51676,3.82099,1.39776,7.1058e-05,7.1058e-05,7.1058e-05
57,675.376,1.1392,2.50196,1.16682,0.26304,0.10416,0.06934,0.05805,1.5333,3.82525,1.40803,6.95136e-05,6.95136e-05,6.95136e-05
58,687.33,1.19522,2.59111,1.20712,0.2772,0.09255,0.07243,0.059,1.52764,3.83299,1.40797,6.79692e-05,6.79692e-05,6.79692e-05
59,697.922,1.1502,2.44932,1.18738,0.29931,0.0899,0.07051,0.05624,1.53801,3.85156,1.41588,6.64248e-05,6.64248e-05,6.64248e-05
60,708.891,1.13153,2.42892,1.1602,0.21054,0.099,0.07309,0.05777,1.53214,3.85013,1.41052,6.48804e-05,6.48804e-05,6.48804e-05
61,720.011,1.20874,2.53303,1.21932,0.21698,0.07213,0.06802,0.05365,1.51734,3.84084,1.40832,6.3336e-05,6.3336e-05,6.3336e-05
62,730.756,1.20314,2.57163,1.19668,0.27679,0.07495,0.06637,0.05261,1.52041,3.8526,1.41933,6.17916e-05,6.17916e-05,6.17916e-05
63,741.578,1.11892,2.54619,1.19474,0.26329,0.11014,0.06747,0.05212,1.51346,3.85105,1.41072,6.02472e-05,6.02472e-05,6.02472e-05
64,753.015,1.10807,2.34833,1.16662,0.18193,0.10905,0.06103,0.04674,1.53289,3.83367,1.42252,5.87028e-05,5.87028e-05,5.87028e-05
65,763.941,1.08704,2.28885,1.12971,0.18188,0.10641,0.06329,0.04848,1.51692,3.78878,1.41105,5.71584e-05,5.71584e-05,5.71584e-05
66,774.7,1.09922,2.3342,1.16941,0.15782,0.11287,0.07072,0.05566,1.5234,3.76126,1.40955,5.5614e-05,5.5614e-05,5.5614e-05
67,786.419,1.10113,2.34564,1.1686,0.17162,0.09857,0.07165,0.05702,1.51643,3.77015,1.40671,5.40696e-05,5.40696e-05,5.40696e-05
68,797.078,1.13432,2.32609,1.17027,0.19834,0.08907,0.06663,0.05313,1.52756,3.81336,1.40547,5.25252e-05,5.25252e-05,5.25252e-05
69,807.99,1.05622,2.29283,1.1315,0.16944,0.08256,0.06684,0.05314,1.50781,3.8009,1.39175,5.09808e-05,5.09808e-05,5.09808e-05
70,820.211,1.07737,2.36157,1.14142,0.20736,0.07961,0.06808,0.0545,1.50038,3.77871,1.38726,4.94364e-05,4.94364e-05,4.94364e-05
71,830.745,1.02683,2.17755,1.14134,0.18454,0.0883,0.0688,0.05734,1.50544,3.79308,1.39916,4.7892e-05,4.7892e-05,4.7892e-05
72,842.139,1.18023,2.41169,1.21408,0.21093,0.10674,0.06862,0.05711,1.52753,3.8236,1.40964,4.63476e-05,4.63476e-05,4.63476e-05
73,853.629,1.08963,2.2363,1.17637,0.15849,0.10642,0.06865,0.05719,1.52897,3.84377,1.40613,4.48032e-05,4.48032e-05,4.48032e-05
74,864.646,1.0773,2.20866,1.14594,0.18799,0.11822,0.06974,0.05786,1.51828,3.82988,1.39965,4.32588e-05,4.32588e-05,4.32588e-05
75,875.818,1.06808,2.28075,1.14637,0.18714,0.12868,0.07046,0.05767,1.49928,3.81725,1.39414,4.17144e-05,4.17144e-05,4.17144e-05
76,887.615,1.10561,2.31391,1.15431,0.18595,0.10358,0.07045,0.05759,1.50256,3.79296,1.38761,4.017e-05,4.017e-05,4.017e-05
77,898.517,1.11453,2.33621,1.19103,0.19622,0.09192,0.06619,0.05377,1.50385,3.79088,1.3792,3.86256e-05,3.86256e-05,3.86256e-05
78,909.037,1.10903,2.41475,1.16474,0.25111,0.0838,0.06892,0.05631,1.50673,3.79466,1.38208,3.70812e-05,3.70812e-05,3.70812e-05
79,920.189,1.11088,2.43191,1.18901,0.26608,0.10139,0.06999,0.05769,1.50916,3.80312,1.38425,3.55368e-05,3.55368e-05,3.55368e-05
80,930.996,1.09777,2.25654,1.13982,0.26422,0.10639,0.06985,0.05807,1.50774,3.80824,1.3886,3.39924e-05,3.39924e-05,3.39924e-05
81,941.792,1.09779,2.25882,1.15368,0.23897,0.10733,0.06659,0.05426,1.51036,3.80907,1.38948,3.2448e-05,3.2448e-05,3.2448e-05
82,953.261,1.10604,2.25401,1.18679,0.21589,0.11593,0.06439,0.05219,1.50962,3.81177,1.39428,3.09036e-05,3.09036e-05,3.09036e-05
83,963.767,1.07927,2.21793,1.15276,0.2188,0.11499,0.06578,0.05251,1.49707,3.82055,1.39347,2.93592e-05,2.93592e-05,2.93592e-05
84,974.863,1.04341,2.13971,1.13223,0.21433,0.10283,0.0703,0.05698,1.48072,3.82128,1.38726,2.78148e-05,2.78148e-05,2.78148e-05
85,985.959,1.09374,2.30981,1.17111,0.23537,0.09421,0.07223,0.05836,1.49167,3.82734,1.39168,2.62704e-05,2.62704e-05,2.62704e-05
86,996.325,1.05041,2.17307,1.14418,0.21023,0.09599,0.06944,0.05584,1.49382,3.82492,1.39324,2.4726e-05,2.4726e-05,2.4726e-05
87,1007.28,1.08612,2.2808,1.17779,0.23735,0.09788,0.07037,0.05729,1.49476,3.82475,1.38979,2.31816e-05,2.31816e-05,2.31816e-05
88,1017.98,1.09549,2.23737,1.1597,0.23556,0.09986,0.07153,0.05954,1.49504,3.82666,1.39344,2.16372e-05,2.16372e-05,2.16372e-05
89,1029.01,1.06044,2.1717,1.13459,0.26616,0.09851,0.07186,0.06025,1.50885,3.83237,1.40929,2.00928e-05,2.00928e-05,2.00928e-05
90,1041.1,1.04777,2.18646,1.14981,0.31184,0.09117,0.07601,0.064,1.50311,3.83396,1.40366,1.85484e-05,1.85484e-05,1.85484e-05
91,1057.07,1.1024,2.58096,1.17737,0.29107,0.11927,0.07466,0.06246,1.50711,3.85171,1.38968,1.7004e-05,1.7004e-05,1.7004e-05
92,1068.24,1.06615,2.5551,1.17005,0.24675,0.11705,0.07323,0.06123,1.50218,3.87094,1.37204,1.54596e-05,1.54596e-05,1.54596e-05
93,1080.07,1.09908,2.61628,1.16705,0.30643,0.11151,0.0735,0.06081,1.50071,3.90094,1.37943,1.39152e-05,1.39152e-05,1.39152e-05
94,1091.17,1.03318,2.48434,1.13903,0.33153,0.11069,0.07582,0.06235,1.5086,3.8967,1.38089,1.23708e-05,1.23708e-05,1.23708e-05
95,1102.16,1.02834,2.46544,1.13658,0.30413,0.09302,0.07438,0.06195,1.51325,3.88206,1.38425,1.08264e-05,1.08264e-05,1.08264e-05
96,1114.08,1.02738,2.51604,1.13859,0.3035,0.10827,0.07536,0.06229,1.51155,3.87623,1.38533,9.282e-06,9.282e-06,9.282e-06
97,1125.16,1.04331,2.48608,1.15484,0.30061,0.10523,0.07522,0.06153,1.50385,3.86855,1.37956,7.7376e-06,7.7376e-06,7.7376e-06
98,1136.15,1.02954,2.44844,1.13589,0.29898,0.10416,0.07397,0.06162,1.50657,3.87568,1.38343,6.1932e-06,6.1932e-06,6.1932e-06
99,1147.36,1.02385,2.42011,1.12386,0.30229,0.09729,0.07492,0.06171,1.51745,3.88007,1.39025,4.6488e-06,4.6488e-06,4.6488e-06
100,1158.28,1.01939,2.45219,1.14075,0.30048,0.11349,0.07472,0.06164,1.50862,3.87726,1.38094,3.1044e-06,3.1044e-06,3.1044e-06
